"","species.m","animal","class.m","long.m","mass.m","BMR","noct.m","volant.m","fossorial.m","forage.m","BMR.q"
"1","Dicrostonyx_groenlandicus","Dicrostonyx_groenlandicus","Mammalia",-1.91221142562743,-0.606097208807184,0.861519698594201,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"2","Didelphis_marsupialis","Didelphis_marsupialis","Mammalia",-1.56154838568239,0.548725877971438,-0.56710037473975,"nocturnal","nonvolant","nonfossorial","semiarboreal","good"
"3","Didelphis_virginiana","Didelphis_virginiana","Mammalia",-0.904336884032191,0.796101867066668,-0.932889906338009,"nocturnal","nonvolant","nonfossorial","semiarboreal","good"
"4","Diphylla_ecaudata","Diphylla_ecaudata","Mammalia",-0.624617455668887,-0.921110671344306,0.503604794225011,"nocturnal","volant","nonfossorial","terrestrial","good"
"5","Dipodomys_deserti","Dipodomys_deserti","Mammalia",-0.519459192486532,-0.398916369776374,0.132348954932664,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"6","Dipodomys_heermanni","Dipodomys_heermanni","Mammalia",-0.571087891781195,-0.611706233193037,0.446496461269251,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"7","Dipodomys_merriami","Dipodomys_merriami","Mammalia",-0.344443705913667,-0.772149293880589,0.422202086085011,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"8","Dipodomys_ordii","Dipodomys_ordii","Mammalia",-0.31476807176745,-0.659956973852029,0.580404716257621,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"9","Dasyurus_viverrinus","Dasyurus_viverrinus","Mammalia",-0.860929015698314,0.424149636248278,-0.592027159132747,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"10","Dendrolagus_matschiei","Dendrolagus_matschiei","Mammalia",1.13869359236344,1.11773503952665,-1.4298487740582,"cathemeral","nonvolant","nonfossorial","semiarboreal","good"
"11","Desmodillus_auricularis","Desmodillus_auricularis","Mammalia",-1.01888866088359,-0.676434352502909,0.504414333342033,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"12","Desmodus_rotundus","Desmodus_rotundus","Mammalia",1.25798783672508,-0.858528516138241,0.188520720190499,"nocturnal","volant","nonfossorial","terrestrial","good"
"13","Dobsonia_moluccensis","Dobsonia_moluccensis","Mammalia",0.000855788285536009,0.0824282654639446,0.183188019278318,"nocturnal","volant","nonfossorial","volant","good"
"14","Echinops_telfairi","Echinops_telfairi","Mammalia",0.633136914887156,-0.237500105974029,0.445222961590611,"nocturnal","nonvolant","nonfossorial","semiarboreal","good"
"15","Echymipera_rufescens","Echymipera_rufescens","Mammalia",-2.00311950099756,0.474468694606687,-0.657494894511316,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"16","Elephantulus_intufi","Elephantulus_intufi","Mammalia",-0.405676147137574,-0.693685594946264,0.40513288674041,"diurnal","nonvolant","semifossorial","terrestrial","good"
"17","Elephantulus_rozeti","Elephantulus_rozeti","Mammalia",-0.777817503795875,-0.723092001940463,0.345854418337105,"diurnal","nonvolant","semifossorial","terrestrial","good"
"18","Elephantulus_rufescens","Elephantulus_rufescens","Mammalia",-0.64290770441566,-0.653567526525865,0.36220403996281,"diurnal","nonvolant","semifossorial","terrestrial","good"
"19","Elephas_maximus","Elephas_maximus","Mammalia",2.43269236147013,3.35530742534144,-2.10103721282983,"cathemeral","nonvolant","nonfossorial","terrestrial","good"
